review_status,id,age_group,theme,sub_topic,kor_words,eng_words,lyrics,youtube_title,youtube_description,youtube_tags
Updated,11,5-6,음악,악기,북;피아노;기타;바이올린,Drum;Piano;Guitar;Violin,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Drum]
(A strong beat)
Boom boom boom, it's a...
(쿵 쿵 쿵, 이건...)

Drum. Drum.
북. 북.
... (short musical pause)

[Verse 2: Piano]
(A gentle melody)
Plink plonk plink, it's a...
(딩동댕, 이건...)

Piano. Piano.
피아노. 피아노.
... (short musical pause)

[Verse 3: Guitar]
(A strumming sound)
Strum strum strum, it's a...
(징 징 징, 이건...)

Guitar. Guitar.
기타. 기타.
... (short musical pause)

[Verse 4: Violin]
(A beautiful, high-pitched sound)
Screech screech, it's a...
(쓰윽 쓰윽, 이건...)

Violin. Violin.
바이올린. 바이올린.

Let's make music!
(음악을 만들어요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[5-6세 영어 동요] 악기 연주,"북', '피아노', '기타', '바이올린' 악기 소리를 배워봐요. 다 함께 연주해요!",#악기노래 #음악동요
Updated,12,7-8,직업,우리 동네 사람들,의사;소방관;요리사;선생님,Doctor;Firefighter;Chef;Teacher,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Doctor]
(Reassuring melody)
Who helps us when we're sick?
(우리가 아플 때 누가 도와주나요?)

Doctor. Doctor.
의사. 의사.

Doctor. Doctor.
의사. 의사.
... (short musical pause)

[Verse 2: Firefighter]
(Brave and exciting music)
Who helps when there is a fire?
(불이 났을 때 누가 도와주나요?)

Firefighter. Firefighter.
소방관. 소방관.

Firefighter. Firefighter.
소방관. 소방관.
... (short musical pause)

[Verse 3: Chef]
(Fun and yummy music)
Who makes delicious food?
(누가 맛있는 음식을 만드나요?)

Chef. Chef.
요리사. 요리사.

Chef. Chef.
요리사. 요리사.
... (short musical pause)

[Verse 4: Teacher]
(Friendly and smart music)
Who helps us learn new things?
(우리가 새로운 것을 배우도록 누가 도와주나요?)

Teacher. Teacher.
선생님. 선생님.

Teacher. Teacher.
선생님. 선생님.

Let's sing it again!
(다시 한번 불러봐요!)

Doctor. Doctor.
의사. 의사.

Firefighter. Firefighter.
소방관. 소방관.

Chef. Chef.
요리사. 요리사.

Teacher. Teacher.
선생님. 선생님.

Doctor. Doctor.
의사. 의사.

Firefighter. Firefighter.
소방관. 소방관.

Chef. Chef.
요리사. 요리사.

Teacher. Teacher.
선생님. 선생님.

Thank you everyone!
(모두 고맙습니다!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)
",[7-8세 영어 동요] 우리 동네 사람들,"의사', '소방관', '요리사', '선생님' 직업을 배워봐요. 우리를 도와주는 고마운 분들!",#직업동요 #인물동요
Updated,13,1-2,동물,동물 소리 1,멍멍;야옹;꿀꿀,Woof;Meow;Oink,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Woof]
(A happy bark)
A dog says...
(강아지는...)

Woof. Woof.
멍멍. 멍멍. 

Woof. Woof.
멍멍. 멍멍.
... (short musical pause)

[Verse 2: Meow]
(A cute meow)
A cat says...
(고양이는...)


Meow. Meow.
야옹. 야옹.

Meow. Meow.
야옹. 야옹.
... (short musical pause)

[Verse 3: Oink]
(A funny oink)
A pig says...
(돼지는...)

Oink. Oink.
꿀꿀. 꿀꿀.

Oink. Oink.
꿀꿀. 꿀꿀.

Let's sing it again!
(다시 한번 불러봐요!)

Woof. Woof.
멍멍. 멍멍.

Meow. Meow.
야옹. 야옹.

Oink. Oink.
꿀꿀. 꿀꿀.



So many sounds!


[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[1-2세 영어 동요] 동물 소리 1 (강아지, 고양이, 돼지)","멍멍', '야옹', '꿀꿀' 동물 소리를 배워봐요! 재미있는 동물 소리!",#동물소리 #의성어동요
Updated,14,3-4,동물,농장 동물,소;돼지;닭;오리,Cow;Pig;Chicken;Duck,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Cow]
(Singer's voice is very clear, friendly, and encouraging)

A cow on the farm says moo.
농장의 소는 음매하고 울어요.

Cow. Cow.
소. 소.
...
Let's sing it again!
(다시 한번 불러봐요!)

Cow. Cow.
소. 소.

You're a star! (정말 최고야!)

[Verse 2: Pig]
(Singer's voice is very clear, friendly, and encouraging)

A pig on the farm says oink.
농장의 돼지는 꿀꿀하고 울어요.

Pig. Pig.
돼지. 돼지.
...
Let's sing it again!
(다시 한번 불러봐요!)

Pig. Pig.
돼지. 돼지.

You're a star! (정말 최고야!)

[Verse 3: Chicken]
(Singer's voice is very clear, friendly, and encouraging)

A chicken on the farm says cluck.
농장의 닭은 꼬꼬댁하고 울어요.

Chicken. Chicken.
닭. 닭.
...
Let's sing it again!
(다시 한번 불러봐요!)

Chicken. Chicken.
닭. 닭.

Amazing! (대단해요!)

[Verse 4: Duck]
(Singer's voice is very clear, friendly, and encouraging)

A duck on the farm says quack.
농장의 오리는 꽥꽥하고 울어요.

Duck. Duck.
오리. 오리.
...
Let's sing it again!
(다시 한번 불러봐요!)

Duck. Duck.
오리. 오리.

Great job! (잘했어요!)

[Review]
Let's sing it again!
(다시 한번 불러봐요!)

Cow. Cow.
소. 소.
Pig. Pig.
돼지. 돼지.
Chicken. Chicken.
닭. 닭.
Duck. Duck.
오리. 오리.

[Outro]
(Music slows down slightly, preparing to end)

Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[3-4세 동요] 농장 동물,농장 동물'에 대해 배워봐요! 신나는 노래로 함께해요!,"동물,농장 동물,소,돼지,닭,오리"
Updated,15,5-6,자연,식물,나무;꽃;풀;잎,Tree;Flower;Grass;Leaf,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Tree]
(Calm and strong music)
Big and tall, 
(크고 높아요...)

Tree. Tree.
나무. 나무.
... 
Tree. Tree.
나무. 나무.
...
(short musical pause)


[Verse 2: Flower]
(Beautiful and gentle music)
Colorful and pretty, 
(알록달록 예뻐요...)

Flower. Flower.
꽃. 꽃.
...
Flower. Flower.
꽃. 꽃.
...
 (short musical pause)

[Verse 3: Grass]
(Soft and green music)
Green on the ground,
(땅 위에 초록색..)

Grass. Grass.
풀. 풀.
... 
Grass. Grass.
풀. 풀.
... (short musical pause)



[Verse 4: Leaf]
(Light and floating music)
It grows on a tree, 
(나무에서 자라요...)

Leaf. Leaf.
잎. 잎.

... 
Leaf. Leaf.
잎. 잎.

... 
... (short musical pause)
Let's sing it again!
Tree. Tree.
나무. 나무.
... 
Tree. Tree.
나무. 나무.

Flower. Flower.
꽃. 꽃.
...
Flower. Flower.
꽃. 꽃.
...

Grass. Grass.
풀. 풀.
... 
Grass. Grass.
풀. 풀.

Leaf. Leaf.
잎. 잎.

... 
Leaf. Leaf.
잎. 잎.

Nature is beautiful!


[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[5-6세 영어 동요] 공원의 식물들,"나무', '꽃', '풀', '잎' 식물을 배워봐요. 아름다운 자연!",#자연동요 #식물노래
Updated,16,7-8,감정,감정 표현,사랑해;고마워;미안해;괜찮아,I love you;Thank you;Sorry;It's okay,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: I love you]
(Warm and loving music)
To your family, ...
(가족에게는 이렇게 말해요...)

I love you.
사랑해.

... 

I love you.
사랑해.
... (short musical pause)

[Verse 2: Thank you]
(Grateful music)
When you get a gift, 
(선물을 받았을 때 말해요...)

Thank you.
고마워.
...

Thank you.
고마워.
... (short musical pause)

[Verse 3: Sorry]
(Apologetic music)
When you make a mistake, 
(실수했을 때 말해요...)

Sorry.
미안해.
... 

Sorry.
미안해.
... (short musical pause)

[Verse 4: It's okay]
(Reassuring music)
When a friend says sorry, 
(친구가 미안하다고 하면 말해요...)

It's okay.
괜찮아.
... 
It's okay.
괜찮아.
... (short musical pause)

Great job! (잘했어요!)

[Review]
Let's sing it again!

I love you.
사랑해.

... 
I love you.
사랑해.

... 
Thank you.
고마워.
...
Thank you.
고마워.
...

Sorry.
미안해.
... 

Sorry.
미안해.
... 

It's okay.
괜찮아.
... 

It's okay.
괜찮아.
... 

Let's say beautiful words!
(예쁜 말을 해요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[7-8세 영어 동요] 예쁜 말,"사랑해', '고마워', '미안해', '괜찮아' 예쁜 말을 배워봐요. 마음을 전하는 말!",#인성동요 #생활동요
Updated,17,1-2,음식,맛있는 과일,사과;바나나;딸기,Apple;Banana;Strawberry,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Apple]
(Singer's voice is very clear, friendly, and encouraging)

A crunchy red fruit is an Apple.
아삭아삭 빨간 과일은 사과.

Apple. Apple.
사과. 사과.
...

Apple. Apple.
사과. 사과.


[Verse 2: Banana]
(Singer's voice is very clear, friendly, and encouraging)

A long yellow fruit is a Banana.
길고 노란 과일은 바나나.

Banana. Banana.
바나나. 바나나.
...

Banana. Banana.
바나나. 바나나.


[Verse 3: Strawberry]
(Singer's voice is very clear, friendly, and encouraging)

A small red fruit is a Strawberry.
작고 빨간 과일은 딸기.

Strawberry. Strawberry.
딸기. 딸기.
...


Strawberry. Strawberry.
딸기. 딸기.
...

Let's sing it again!
...

Apple. Apple.
사과. 사과.

Apple. Apple.
사과. 사과.

Banana. Banana.
바나나. 바나나.
...

Banana. Banana.
바나나. 바나나.

Strawberry. Strawberry.
딸기. 딸기.
...


Strawberry. Strawberry.
딸기. 딸기.
...

[Outro]
(Music slows down slightly, preparing to end)

Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[1-2세 동요] 맛있는 과일,맛있는 과일'에 대해 배워봐요! 신나는 노래로 함께해요!,"음식,맛있는 과일,사과,바나나,딸기"
Updated,18,3-4,모양,기본 모양,동그라미;세모;네모,Circle;Triangle;Square,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Circle]
(Singer's voice is very clear, friendly, and encouraging)

A ball is shaped like a Circle.
공은 동그라미.

Circle. Circle.
동그라미. 동그라미.
...

Circle. Circle.
동그라미. 동그라미.

[Verse 2: Triangle]
(Singer's voice is very clear, friendly, and encouraging)

A slice of pizza can be a Triangle.
피자는 세모.

Triangle. Triangle.
세모. 세모.
...


Triangle. Triangle.
세모. 세모.

[Verse 3: Square]
(Singer's voice is very clear, friendly, and encouraging)

A box can be shaped like a Square.
상자는 네모.

Square. Square.
네모. 네모.
...


Square. Square.
네모. 네모.

Let's sing it again!

Circle. Circle.
동그라미. 동그라미.
...

Circle. Circle.
동그라미. 동그라미.


Triangle. Triangle.
세모. 세모.
...


Triangle. Triangle.
세모. 세모.

Square. Square.
네모. 네모.
...


Square. Square.
네모. 네모.


Amazing! 


[Outro]
(Music slows down slightly, preparing to end)

Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[3-4세 동요] 기본 모양,기본 모양'에 대해 배워봐요! 신나는 노래로 함께해요!,"모양,기본 모양,동그라미,세모,네모"
Updated,19,5-6,자연,날씨 표현,맑음;흐림;번개;안개,Sunny;Cloudy;Lightning;Foggy,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Sunny]
(Singer's voice is very clear, friendly, and encouraging)

When the sun is out, it is Sunny!
해가 밖에 나왔을 때, 그건 맑은 거야!

Sunny. Sunny.
맑음. 맑음.
...


Sunny. Sunny.
맑음. 맑음.


[Verse 2: Cloudy]
(Singer's voice is very clear, friendly, and encouraging)

When the sun is hiding, it is Cloudy.
해가 숨어있을 때, 그건 흐린 거야.

Cloudy. Cloudy.
흐림. 흐림.
...

Cloudy. Cloudy.
흐림. 흐림.



[Verse 3: Lightning]
(Singer's voice is very clear, friendly, and encouraging)

A big flash in the sky is Lightning!
하늘에서 번쩍이는 것은 번개!

Lightning. Lightning.
번개. 번개.
...


Lightning. Lightning.
번개. 번개.



[Verse 4: Foggy]
(Singer's voice is very clear, friendly, and encouraging)

When it's hard to see, it is Foggy.
밖이 잘 안 보일 때, 그건 안개가 낀 거야.

Foggy. Foggy.
안개. 안개.
...


Foggy. Foggy.
안개. 안개.



[Review]
Let's sing it again!
(다시 한번 불러봐요!)

Sunny. Sunny.
맑음. 맑음.

Sunny. Sunny.
맑음. 맑음.

Cloudy. Cloudy.
흐림. 흐림.

Cloudy. Cloudy.
흐림. 흐림.

Lightning. Lightning.
번개. 번개.

Lightning. Lightning.
번개. 번개.

Foggy. Foggy.
안개. 안개.

Foggy. Foggy.
안개. 안개.

[Outro]
(Music slows down slightly, preparing to end)

Bye bye bye!
See you again!

(Music fades out with a happy final chord)
",[5-6세 동요] 날씨 표현,날씨 표현'에 대해 배워봐요! 신나는 노래로 함께해요!,"자연,날씨 표현,맑음,흐림,번개,안개"
Updated,20,7-8,경제,돈과 저축,동전;지폐;저금통;은행,Coin;Bill;Piggy bank;Bank,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Coin]
(Singer's voice is very clear, friendly, and encouraging)

A shiny round coin.
반짝이는 동그란 동전.

Coin. Coin.
동전. 동전.
...

Coin. Coin.
동전. 동전.


[Verse 2: Bill]
(Singer's voice is very clear, friendly, and encouraging)

A paper money is a bill.
종이 돈은 지폐.

Bill. Bill.
지폐. 지폐.
...

Bill. Bill.
지폐. 지폐.



[Verse 3: Piggy bank]
(Singer's voice is very clear, friendly, and encouraging)

We save coins in a piggy bank.
우리는 돼지 저금통에 동전을 모아.

Piggy bank. Piggy bank.
저금통. 저금통.
...


Piggy bank. Piggy bank.
저금통. 저금통.


[Verse 4: Bank]
(Singer's voice is very clear, friendly, and encouraging)

We keep our money safe in a bank.
우리는 은행에 돈을 안전하게 보관해.

Bank. Bank.
은행. 은행.
...
Bank. Bank.
은행. 은행.

amazing!

[Review]
Let's sing it again!


Coin. Coin.
동전. 동전.

Coin. Coin.
동전. 동전.

Bill. Bill.
지폐. 지폐.

Bill. Bill.
지폐. 지폐.

Piggy bank. Piggy bank.
저금통. 저금통.

Piggy bank. Piggy bank.
저금통. 저금통.

Bank. Bank.
은행. 은행.

Bank. Bank.
은행. 은행.

[Outro]
(Music slows down slightly, preparing to end)

Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[7-8세 동요] 돈과 저축,돈과 저축'에 대해 배워봐요! 신나는 노래로 함께해요!,"경제,돈과 저축,동전,지폐,저금통,은행"
